Checkbox,Name,Subjects,Type,URL
No,"Singh, The Code Book: The Secret History of Codes and Codebreaking",Computer Science,Book,
No,"Hromkovic, Algorithmic Adventures: From Knowledge to Magic",Computer Science,Book,
No,"Penrose, The Emperor's New Mind",Computer Science,Book,
No,"Houston, How to Think Like a Mathematician",Computer Science,Book,
No,"Dewdney, The New Turing Omnibus: 66 Excursions in Computer Science",Computer Science,Book,
No,"Gribbin, Computing with Quantum Cats",Computer Science,Book,
No,National Cipher Challenge,Computer Science,Competition,https://www.cipherchallenge.org/
No,Bebras,Computer Science,Competition,https://www.bebras.uk/
No,British Informatics Olympiad,Computer Science,Competition,https://www.olympiad.org.uk/
No,Project Euler,Computer Science,Other,https://projecteuler.net/
No,Oxford podcast,Computer Science,Other,https://podcasts.ox.ac.uk/series/computer-science
No,Oxford reading list,Computer Science,Other,https://www.cs.ox.ac.uk/admissions/undergraduate/why_oxford/reading.html
No,Studying computer science at Cambridge University,Computer Science,Video,https://www.youtube.com/watch?v=d7TDJWzLqo8&t=149s
No,The Josephus Problem - Numberphile,Computer Science,Video,https://www.youtube.com/watch?v=uCsD3ZGzMgE
No,Brilliant,"Computer Science, Maths",Website,https://brilliant.org/
No,Oxford Sparks,Computer Science,Website,https://www.oxfordsparks.ox.ac.uk/
No,NASA learning resources,Computer Science,Website,https://www.nasa.gov/learning-resources/
No,Isaac Computer Science,Computer Science,Website,https://isaaccomputerscience.org/
No,Nrich Covid 19,"Computer Science, Maths",Website,https://nrich.maths.org/covid19
No,New Scientist,"Computer Science, Maths",Website,https://www.newscientist.com/
No,"Shor, I’ll do it",Computer Science,Website,https://scottaaronson.blog/?p=208
No,How to Study for a Maths Degree by Lara Alcock,Maths,Book,
No,An Introduction to Mathematical Reasoning by Peter J. Eccles,Maths,Book,
No,How to Think Like a Mathematician by Kevin Houston,Maths,Book,
No,"Dunham, Euler: the Master of Us All",Maths,Book,
No,"Singh, Fermat’s Last Theorem",Maths,Book,
No,"Penrose, The Emperor's New Mind: Concerning Computers, Minds, and the Laws of Physics",Maths,Book,
No,"Alcock, How to Think About Analysis",Maths,Book,
No,Mathologer,Maths,Video,
No,3Blue1Brown,Maths,Video,
No,Khan Academy,"Computer Science, Maths",Website,https://www.khanacademy.org/
No,Dr Frost Maths,Maths,Website,https://www.drfrostmaths.com/
No,The Millennium Mathematics Project,Maths,Website,https://maths.org/
No,Oxford Mathematics Alphabet,Maths,Website,https://www.maths.ox.ac.uk/outreach/oxford-mathematics-alphabet
No,Tom Rocks Maths,Maths,Website,https://tomrocksmaths.com/
No,STEP Support Programme,Maths,Website,https://maths.org/step/
No,Plus Magazine - Living Mathematics,Maths,Website,https://plus.maths.org/content/
